;2;3;4;5;6;7;8;9;10;13;15;17;18;19;20;22;23;24;25;27;30;32;34;35;36;37;39;40;41;45;46;42;44;43
15.04.2022;10;;1;0,2;;;;;;;;;;;;;;;8;;1;;;;0,5;;;;;;;;0,5;
22.04.2022;10;;1;0,2;;;;;;;1;;;;;;;;8;1;;;;;;;;;;;;;0,5;
29.04.2022;10;;1;0,2;;;;;;4;;;;;;;;;8;1;;;;;0,5;;;;;;;;0,5;
06.05.2022;10;;1;0,2;;;;;;;1;;;;;;;;8;;1;;;;;;;;;;;;0,5;
13.05.2022;10;;1;0,2;;;;;;4;;;;;;;;;8;;;;;;0,5;;;;;;;;0,5;
20.05.2022;;;1;0,2;;;;;;4;1;;;;1;;;;;;;;;;;1;;;;;;;0,5;
27.05.2022;;8;1;0,2;;;;1;;;;;;1;;;;;;;1;;;;0,5;;;;;;;;0,5;
03.06.2022;;8;1;0,2;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;0,5;
10.06.2022;10;8;1;0,2;;;;;;;;;;;;;1;;;;1;;;;;1;;;;;;;0,5;
17.06.2022;10;8;1;0,2;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;0,5;
24.06.2022;;8;1;0,2;;;;1;;;;;;1;;;;;;;;;;;;1;;;;;;;0,5;
01.07.2022;;8;1;0,2;;;;;4;;1;;1;;;;;;;;;;;;;;;;;;;;0,5;0,5
08.07.2022;;8;1;0,2;;;;;;;;1;;;;;;;;;;;;;;1;;1;;;;;0,5;
15.07.2022;;8;1;0,2;;;;;;;;;;;;;;;;;;;;2;;;1;1;2;4;8;1;0,5;
22.07.2022;;8;1;;;;;;;;;;;;;;;;;1;;0,2;;2;;1;1;1;2;4;8;;0,5;0,5
29.07.2022;;8;1;0,2;;;;;;;;;;;;;;;;;;0,2;0,2;2;;;1;1;2;4;8;1;0,5;
05.08.2022;;8;1;;;;;;;;;;;;;;;;;;;0,2;0,2;2;;1;1;1;2;4;8;;0,5;
12.08.2022;;8;1;0,2;;;;;4;;;;;;;;;;;1;;;0,2;2;;;1;1;2;4;8;1;0,5;0,5
19.08.2022;;8;1;;;;;;;;;;;;;;;;;;;0,2;0,2;2;;1;1;1;2;4;8;;0,5;
26.08.2022;;8;1;0,2;;;;;;;;;;;;;;;;;;0,2;0,2;2;;;1;1;2;4;8;1;0,5;
02.09.2022;;8;1;;;;;;;;;;;;;;;;;1;1;0,2;0,2;2;;1;1;1;2;4;8;;0,5;0,5
09.09.2022;;8;1;0,2;;;;;;;1;;;1;;;;;;;;;0,2;2;;;1;;2;4;8;1;0,5;
16.09.2022;;8;1;;;;;;;;;;;;;;1;;;;;;0,2;2;;1;1;;2;4;8;;0,5;
23.09.2022;;8;1;0,2;;;;;4;;;;1;;;;;;;;1;;0,2;2;;;1;;2;4;8;1;0,5;0,5
30.09.2022;;8;;;;1;;1;;;;;;1;;;;;8;;;;;2;;1;;;2;4;8;;0,5;
07.10.2022;10;8;;0,2;;;0,125;;;4;1;;;;1;;;1;;1;;;;;;;;;2;4;8;1;0,5;
14.10.2022;10;8;;0,2;1;;0,125;;4;;;;;;;1;;;8;;1;;;;0,5;;;;;;;;0,5;0,5
21.10.2022;10;8;;0,2;;;0,125;;;4;1;;;1;;;1;1;;1;;;;;;;;;;;;;0,5;
28.10.2022;;8;;0,2;;1;0,125;;4;;;1;;;1;;;;8;;;;;;0,5;;;;;;;;0,5;
04.11.2022;;8;;0,2;;;0,125;;;4;1;;1;;;1;;1;;1;1;;;;0,5;;;;;;;;0,5;0,5
